company,car type,year,engine volume,km,hand,gear box,color,current owner,price,gas,horse power
הונדה,HR-V,2019,1498,138054,1,אוטומטית,לבן,-,80900,בנזין,131
מיצובישי,אטראז,2020,1193,34969,1,אוטומטית,שנהב לבן,ליסינג,78088,בנזין,80
אאודי,A6,2017,1798,118000,3,אוטומטית,לבן,-,100000,בנזין,190
מאזדה,3,2020,1998,76677,1,אוטומטית,לבן,-,98948,בנזין,165
מאזדה,2,2023,1496,0,1,אוטומטית,שנהב לבן,חברה,108500,בנזין,116
שברולט,אקווינוקס,2019,1490,44000,1,אוטומטית,שחור,-,118000,בנזין,170
פיאט,500,2023,0,0,1,אוטומטית,שחור,חברה,164532,חשמל,118
סקודה,אוקטביה,2019,999,123264,1,אוטומטית,אפור מטל,-,87900,בנזין,115
מיצובישי,ספייס סטאר,2021,1193,23727,1,אוטומטית,אפור,ליסינג,72685,בנזין,71
קיה,פיקנטו,2020,1248,65676,1,אוטומטית,כסוף כהה,השכרה,67643,בנזין,84
סקודה,קודיאק,2018,1968,98000,1,אוטומטית,אפור מטל,-,184000,דיזל,190
יונדאי,אקסנט,2020,1368,82318,1,אוטומטית,אפור מטל,ליסינג,87800,בנזין,100
יונדאי,I10,2021,1197,37251,1,אוטומטית,כסוף כהה מטלי,ליסינג,74860,בנזין,84
שברולט,ספארק,2020,1399,72093,1,אוטומטית,שנהב לבן,השכרה,55125,בנזין,98
סיאט,לאון,2016,1798,158000,2,אוטומטית,שנהב לבן,פרטי,90000,בנזין,180
קיה,פיקנטו,2019,1248,107892,1,אוטומטית,שנהב לבן,השכרה,55374,בנזין,84
קיה,ספורטאז,2017,1999,112265,1,אוטומטית,לבן,-,90500,בנזין,155
סיאט,איביזה,2018,999,107724,1,אוטומטית,אפור מטל,-,63400,בנזין,115
יונדאי,I10,2020,1197,111581,1,אוטומטית,שחור,השכרה,60826,בנזין,84
פיג'ו,5008,2020,1199,59660,1,אוטומטית,אפור כהה,חברה,143100,בנזין,130
יונדאי,I20,2020,998,96858,1,אוטומטית,שנהב לבן,ליסינג,71600,בנזין,100
קיה,פיקנטו,2021,1248,67445,1,אוטומטית,כסף,ליסינג,79950,בנזין,84
יונדאי,טוסון,2023,1598,0,1,אוטומטית,כסף מטלי,חברה,209900,בנזין,180
שברולט,קפטיבה,2017,1956,74000,2,אוטומטית,לבן,-,90000,דיזל,167
סובארו,אימפרזה,2018,1600,168500,2,אוטומטית,אפור כהה,פרטי,45000,בנזין,114
מיצובישי,ספייס סטאר,2021,1193,24731,1,אוטומטית,אפור,ליסינג,72055,בנזין,71
יונדאי,איוניק,2020,1580,103285,1,אוטומטית,שנהב לבן,ליסינג,101699,בנזין,141
קרייזלר,רנגלר,2021,1995,25000,2,אוטומטית,לבן,פרטי,365000,בנזין,270
קיה,פיקנטו,2020,1248,86957,1,אוטומטית,כסף,-,65115,בנזין,84
אאודי,Q3,2016,1984,153000,1,אוטומטית,לבן,-,114800,בנזין,180
פיג'ו,2008,2018,1199,66450,1,אוטומטית,שנהב לבן,ליסינג,70417,בנזין,110
סקודה,קודיאק,2019,1968,95000,1,אוטומטית,שחור,חברה,165000,דיזל,190
סיאט,לאון,2017,1984,100000,1,אוטומטית,אפור מטל,חברה,136000,בנזין,290
יונדאי,איוניק,2020,1580,108000,1,אוטומטית,אפור,ליסינג,103575,בנזין,141
טויוטה,קורולה,2019,1798,116890,1,אוטומטית,כסוף כהה מטלי,ליסינג,89800,בנזין,98
טויוטה,קורולה,2019,1798,90498,1,אוטומטית,כסוף כהה מטלי,ליסינג,98400,בנזין,98
מרצדס,CLA,2023,1332,0,1,אוטומטית,אפור,חברה,299000,בנזין,136
יונדאי,טוסון,2018,1999,64815,1,אוטומטית,שחור,ליסינג,124300,בנזין,155
יונדאי,איוניק,2019,1580,113168,1,אוטומטית,אפור,ליסינג,97414,בנזין,141
סיטרואן,C3,2019,1199,44150,2,אוטומטית,שנהב לבן,חברה,73166,בנזין,110
סובארו,XV,2018,1600,98000,1,אוטומטית,כסף,-,89000,בנזין,114
פיג'ו,3008,2020,1499,105777,2,אוטומטית,לבן,-,119900,דיזל,130
סקודה,סקאלה,2020,999,81496,1,אוטומטית,שנהב לבן,ליסינג,83300,בנזין,115
